Topic,Platform,Recommendation,Keywords,Notes
投稿時間（平日昼）,note.com,12:00-13:00（昼休み）,投稿時間 平日 昼 昼休み,読者が昼休みにスマホでnoteを読む時間帯
投稿時間（平日夜）,note.com,20:00-22:00（夜のリラックスタイム）,投稿時間 平日 夜 リラックス,仕事後のゆったり読書時間
投稿時間（週末）,note.com,10:00-12:00 または 15:00-17:00,投稿時間 週末 土日 朝 午後,週末は朝と午後の2つのピーク
ハッシュタグ（一般）,note.com,#エッセイ #日記 #コラム #仕事 #生活（3-5個・大衆+精密の組合せ）,ハッシュタグ タグ エッセイ 日記 一般,1-2個の人気タグ + 1-2個の精密タグ
ハッシュタグ（IT）,note.com,必須: #エンジニア #プログラミング #IT #AI #DX / 推奨: #仕事 #キャリア #日記,ハッシュタグ IT エンジニア プログラミング AI,技術系2-3個 + 一般1-2個で読者層を広げる。5-7個が最適
ハッシュタグ（エッセイ）,note.com,#エッセイ #日記 #家族 #日常 #コラム + 記事固有タグ（#祖母 #スマホ等）,ハッシュタグ エッセイ 家族 日常 コラム,固有タグで検索性を高める
ハッシュタグ（ツール）,note.com,#AIツール #おすすめ #比較 #まとめ #[カテゴリ名],ハッシュタグ ツール おすすめ 比較 まとめ,SEOキーワードと一致させる
ハッシュタグ（Zenn）,Zenn,#技術記事 #[技術名] #[フレームワーク名] #バズ,ハッシュタグ Zenn 技術 記事,Zennはタグが検索に直結。技術名を正確に
スキ数予測（一般）,note.com,タイトル好奇心+20 / 冒頭3行+15 / 感情共感+25 / 実用価値+20 / ストーリー+15 / 結び+10 / レイアウト+5 / 時間+5 / タグ+5 = 最大120点,スキ数 予測 スコア チェック 一般,80-100: 人気記事ポテンシャル / 60-79: 質良い公開OK / 40-59: 修正推奨 / 40未満: 練り直し
スキ数予測（IT）,note.com,逆説タイトル+25 / 衝撃書き出し+20 / 内部事情+20 / 具体数字+15 / 自虐ユーモア+10 / 専門洞察+15 / 実用価値+15 / 結び+10 = 最大130点,スキ数 予測 スコア IT チェック,100-130: バズ可能性 / 70-99: 良記事 / 50-69: 修正推奨 / 50未満: 構成見直し
スキ数予測（岸田奈美）,note.com,タイトル？+15 / 冒頭引込+15 / 意外比喩+10 / 会話笑い+15 / 感動シーン+15 / 自覚なしオチ+10 / 余韻+10 / 誰も傷つけない+10 = 最大100点,スキ数 予測 岸田奈美 エッセイ チェック,80-100: 岸田奈美スタイル達成 / 60-79: 良いエッセイ / 40-59: 修正推奨
スキ数予測（告白系）,note.com,告白形式タイトル+20 / 特定読者層+15 / キャッチ造語+20 / 具体数字+10 / 対比構造+15 / 建設的提案+15 / シェア性+10 = 最大105点,スキ数 予測 告白 IT チェック,80-105: バズ可能性 / 60-79: 質良い / 40-59: 修正推奨
note.com最適化,note.com,段落短く（感情系3-5行・専門系5-8行）。太字でキーワード強調。「」で固有名詞。小見出しで分割。表の両端竖线を省く,note プラットフォーム レイアウト 最適化,スマホプレビュー必須。文字の壁を避ける
Zenn最適化,Zenn,章番号付きタイトル。コードブロック多用。ASCII図で構造可視化。GitHubリポジトリ。Before/Afterテーブル,Zenn プラットフォーム レイアウト 最適化,アンカーリンク付き目次を設置。長い記事OK
互動策略,note.com/Zenn,回复每一条评论。在相关文章下留言互动。定期更新保持活跃度。コメントでの情報交換を促す,互動 コメント 回复 活跃 更新,「コメントで教えてください」で読者参加を促す
