Name,ArticleType,Steps,Flow,Keywords,Notes
ファン感情系4段構成,ファン感情系,4,日常的切入+自己紹介 → 背景紹介+過去の状態 → 転機+重要な出来事 → 現在の状態+気づき・和解,感情 エッセイ ファン 成長 変化,明確な感情のメインライン（愛→失望→再生等）が必要。最低3つの具体シーン描写
専門インサイト系4段構成,IT専門インサイト系,4,問題・痛みの提示 → 原因・本質の説明 → 具体的アドバイス・フレームワーク → まとめ+行動喚起,専門 分析 フレームワーク 解決,各観点に具体事例を配置。専門用語に説明を添える
社会評論系4段構成,社会評論系,4,現象の描写+常識的認識 → 常識を覆す真実 → 深い分析+多角的論拠 → 思考の啓発+開かれた問い,評論 社会 批判 議論 考察,学際的知識を融合。対比手法で説得力を増す
IT告白系6段構成,IT告白懺悔系,6,①告白（実は私が〜） → ②言い訳（背景説明・スケジュール） → ③地獄の描写（印鑑ラリー・通訳地獄） → ④構造的問題の指摘 → ⑤ベンダーへの提案 → ⑥最後の懺悔と希望,IT 告白 懺悔 SaaS ベンダー 地獄,キャッチーな造語（印鑑ラリー等）が重要。対比構造（認識vs現実）を入れる
IT専門インサイト系6段構成,IT専門インサイト系,6,①問題の観察 → ②問題の本質 → ③分類・整理（2-3パターン） → ④原因分析 → ⑤提言 → ⑥まとめ・考察,IT 専門 分析 分類 パターン,独自データ・調査結果があると加点。図表・モデル図を活用
ITキャリア警告系6段構成,ITキャリア警告系,6,①衝撃的主張 → ②過去（かつてはどうだったか） → ③現在（転換点の説明） → ④未来予測 → ⑤提言（何をすべきか） → ⑥エール or 警告の念押し,キャリア 警告 過去 現在 未来 転職,反論を先回りして対処。読者の主体性を尊重する結び
ITハウツー系6段構成,ITハウツー実用系,6,①問題状況の共有 → ②問題の詳細（症状・エラー） → ③原因の特定 → ④解決策（ステップバイステップ） → ⑤結果確認 → ⑥追加Tips・まとめ,ハウツー 解決 手順 ステップ エラー,スクリーンショット・コード例を含む。読者がすぐ試せる
岸田奈美式8段構成,エッセイ系,8,①書き出し（日常の一コマ） → ②背景説明（登場人物紹介・短く） → ③問題発生（深刻そうな出来事） → ④緊張の高まり → ⑤ズレの連続（会話の噛み合わなさ） → ⑥転換点（予想外の展開） → ⑦感動のクライマックス → ⑧オチ（本人は自覚なし or 余韻）,岸田奈美 エッセイ 笑い 感動 ズレ 会話,笑いのピークと感動のピークを別の場所に。感情の波: 平穏→不安→緊張→笑い→更に緊張→大笑い→感動→余韻
椹野道流式一段落完結,日記系,1,書き出し1文→経緯・背景→エピソード→脱線→軽い感想 or 結び（改行なし・1段落で書き切る）,椹野道流 日記 一段落 200-350字,改行しない。口語的（「〜かなあ」「〜なのである」）。猫/母/仕事/体調のいずれかに言及
ツールまとめ基本構成,ツールまとめ系,6,①はじめに（リード文・課題共感） → ②対象者・選定基準 → ③カテゴリ1（ツール紹介） → ④カテゴリ2（ツール紹介） → ⑤比較表（まとめ） → ⑥選び方ポイント・参考リンク,ツール まとめ 比較 カテゴリ 選定基準,統一フォーマットでツール紹介。料金・特徴・おすすめ層を必ず含む
Zennバズり構成,Zenn技術記事系,7,①タイトル（予想外3連発） → ②概要（一言説明） → ③階層図（構造の視覚化） → ④特徴5つ（技術的価値） → ⑤神回エピソード（3-4つ） → ⑥技術ポイント+コスト → ⑦リポジトリ+スローガン,Zenn バズ エピソード メタファー GitHub,笑い要素と技術的正確性の両立。GitHubリポジトリで再現可能性を担保
IT技術解説完全攻略構成,IT技術解説系,9,①フック（挑発的問いかけ） → ②痛みの共感 → ③信頼性確保 → ④価値提示（Before/After） → ⑤目次 → ⑥本文章立て（概念→詳細→応用→実践→高度→実用Tips） → ⑦よくある失敗 → ⑧まとめ → ⑨ハッシュタグ,技術 解説 完全攻略 DDD 入門 ガイド,悪い例→良い例のセット。テーブル・コード・図を多用。アクションアイテムで締める
さすらい式構成,ファン感情系,5,①導入（時間曖昧+状況設定1文） → ②キャラ描写（過剰な形容） → ③エピソード展開（淡々とした狂気） → ④クライマックス → ⑤オチ（会話の断片）,さすらい ツッコミ 一人称 恋愛 叫び,ツッコミ一人称スタイル。淡々と事実を述べて狂気を際立たせる
